location_id,weather_id,time_id,vehicle_count,avg_speed,accident,congestion,traffic_level
2,3,5,24,76.76,0,0,Low
3,1,8,82,39.78,0,1,High
2,2,9,71,26.18,0,0,Medium
1,2,13,15,36.73,1,1,Low
2,2,8,105,16.59,0,1,High
1,2,17,55,66.69,0,0,Medium
2,3,16,39,43.48,0,0,Low
1,2,20,108,31.01,0,1,High
1,3,21,69,39.65,0,0,Medium
1,2,17,52,40.29,0,0,Medium
3,3,18,58,46.15,0,0,Medium
4,2,13,26,48.12,1,1,Low
1,2,1,25,41.63,0,0,Low
1,3,21,65,17.17,0,1,Medium
1,3,2,55,59.73,0,0,Medium
1,2,11,27,73.76,0,0,Low
1,1,23,33,30.59,0,0,Low
4,2,22,21,47.99,1,1,Low
1,1,19,35,50.96,0,0,Low
4,2,1,47,45.37,0,0,Medium
2,2,11,39,49.85,0,0,Low
1,2,4,22,58.46,0,0,Low
2,1,13,33,63.13,0,0,Low
2,2,22,54,67.23,0,0,Medium
3,1,19,49,70.6,0,0,Medium
1,3,23,35,36.12,0,0,Low
1,3,20,88,10.23,0,1,High
2,2,13,42,67.57,0,0,Medium
2,1,2,45,46.64,0,0,Medium
1,2,19,40,70.98,0,0,Low
1,3,17,44,65.24,0,0,Medium
2,3,10,46,38.43,0,0,Medium
4,2,14,94,19.5,0,1,High
4,2,24,85,11.86,0,1,High
4,3,1,60,72.41,0,0,Medium
1,3,4,47,64.8,0,0,Medium
2,3,4,44,64.72,0,0,Medium
1,3,22,18,46.76,0,0,Low
2,3,17,15,78.16,0,0,Low
2,1,8,61,11.81,0,1,Medium
2,2,18,19,46.14,1,1,Low
3,1,25,83,16.91,0,1,High
3,1,17,51,46.69,0,0,Medium
1,3,20,69,15.35,0,1,Medium
3,3,23,32,41.19,0,0,Low
3,1,24,96,17.79,0,1,High
3,2,10,48,40.04,0,0,Medium
3,3,15,29,45.37,0,0,Low
4,3,22,45,30.7,0,0,Medium
4,3,5,58,75.09,0,0,Medium
1,3,16,31,50.25,0,0,Low
3,1,2,16,66.22,0,0,Low
4,1,4,21,51.29,0,0,Low
1,1,22,26,62.93,0,0,Low
4,1,1,19,56.76,0,0,Low
2,1,9,65,17.93,0,1,Medium
4,3,23,15,41.32,0,0,Low
3,2,21,80,10.17,0,1,Medium
2,2,5,57,57.08,0,0,Medium
3,2,23,13,48.57,0,0,Low
1,2,19,33,46.78,0,0,Low
2,2,23,59,67.86,0,0,Medium
2,2,5,19,43.53,0,0,Low
2,2,23,49,31.12,0,0,Medium
3,1,18,17,72.89,0,0,Low
1,1,23,23,56.08,0,0,Low
2,2,5,44,42.9,0,0,Medium
4,3,1,49,31.88,0,0,Medium
1,3,1,38,52.89,0,0,Low
2,2,4,59,41.04,0,0,Medium
4,2,1,39,50.31,1,1,Low
4,3,10,24,54.39,0,0,Low
2,1,3,47,44.88,0,0,Medium
4,1,9,79,36.28,0,0,Medium
1,1,7,25,47.19,0,0,Low
1,2,18,12,41.44,0,0,Low
2,2,3,55,70.34,0,0,Medium
3,3,6,60,39.7,0,0,Medium
4,1,18,27,67.63,0,0,Low
4,1,17,26,31.28,0,0,Low
1,2,16,60,67.02,1,1,Medium
3,1,16,30,79.69,0,0,Low
2,2,18,34,55.8,0,0,Low
3,1,11,20,43.48,0,0,Low
2,3,18,52,38.21,0,0,Medium
2,3,17,58,53.01,0,0,Medium
1,1,24,84,21.84,0,1,High
1,1,8,98,17.78,0,1,High
1,2,21,101,22.54,1,1,High
4,1,24,86,10.05,0,1,High
2,1,3,46,36.51,1,1,Medium
1,2,8,110,18.93,0,1,High
2,3,8,102,17.77,0,1,High
4,2,24,74,35.13,0,0,Medium
4,3,23,26,56.18,0,0,Low
3,1,7,12,30.87,0,0,Low
3,2,13,47,61.21,0,0,Medium
1,1,16,21,52.17,0,0,Low
2,1,17,26,31.38,0,0,Low
2,3,15,19,38.59,0,0,Low
2,3,4,50,54.18,0,0,Medium
3,3,17,59,58.6,0,0,Medium
2,1,11,17,47.6,0,0,Low
3,3,22,10,47.87,0,0,Low
4,2,20,116,16.46,0,1,High
1,1,16,32,39.73,0,0,Low
2,2,15,46,38.5,0,0,Medium
4,2,22,39,34.76,0,0,Low
4,3,17,11,30.75,0,0,Low
4,1,5,48,32.39,0,0,Medium
2,1,9,65,16.36,0,1,Medium
4,2,11,58,75.66,0,0,Medium
3,3,21,117,20.21,0,1,High
1,1,16,58,37.86,0,0,Medium
2,1,13,14,33.93,0,0,Low
2,1,16,26,60.83,0,0,Low
1,3,23,17,38.72,0,0,Low
3,3,6,65,36.66,0,0,Medium
3,3,20,73,13.27,0,1,Medium
1,1,4,25,72.14,0,0,Low
2,3,1,43,39.47,0,0,Medium
2,1,17,11,36.31,0,0,Low
2,1,4,25,70.33,0,0,Low
4,2,12,119,29.64,0,1,High
4,1,18,37,47.22,0,0,Low
4,2,5,31,34.14,0,0,Low
3,1,18,44,42.26,0,0,Medium
4,1,2,29,74.85,0,0,Low
4,3,24,111,32.16,0,1,High
2,2,8,104,35.23,0,1,High
3,1,11,17,68.31,0,0,Low
4,1,10,36,60.3,0,0,Low
1,2,23,22,53.13,0,0,Low
2,1,10,44,49.43,0,0,Medium
4,2,8,60,31.1,0,0,Medium
1,1,21,67,23.15,0,0,Medium
4,1,3,30,55.18,0,0,Low
3,3,2,12,42.91,0,0,Low
2,3,20,65,15.12,0,1,Medium
2,3,17,59,48.21,0,0,Medium
3,3,10,58,43.67,0,0,Medium
4,2,13,26,34.94,0,0,Low
4,2,1,35,55.56,0,0,Low
4,2,8,107,24.54,0,1,High
2,1,23,11,42.18,0,0,Low
2,2,11,38,44.13,0,0,Low
3,1,6,65,24.99,0,0,Medium
3,3,14,99,32.47,0,1,High
4,2,20,70,11.57,0,1,Medium
4,1,20,68,26.0,0,0,Medium
2,2,4,24,66.7,0,0,Low
2,3,17,58,77.64,0,0,Medium
2,2,2,51,48.09,0,0,Medium
2,2,10,30,65.88,0,0,Low
3,3,10,53,57.23,0,0,Medium
3,1,20,63,33.57,0,0,Medium
1,3,6,97,26.03,0,1,High
1,2,21,93,31.19,0,1,High
3,3,25,98,20.2,0,1,High
2,1,18,44,64.39,0,0,Medium
4,3,2,11,60.59,0,0,Low
4,1,19,23,63.43,0,0,Low
4,3,21,74,28.09,0,0,Medium
3,2,14,95,26.78,0,1,High
4,1,3,51,32.02,0,0,Medium
1,2,4,38,33.43,0,0,Low
1,1,22,49,35.34,0,0,Medium
1,1,23,11,78.96,0,0,Low
4,2,14,88,29.31,0,1,High
4,3,21,91,10.63,0,1,High
4,2,16,48,33.57,0,0,Medium
2,2,9,76,22.74,0,0,Medium
4,1,12,109,17.44,0,1,High
1,3,23,25,48.43,0,0,Low
2,1,17,43,43.13,0,0,Medium
1,2,16,14,74.98,0,0,Low
4,2,19,42,50.53,0,0,Medium
1,3,16,29,59.99,0,0,Low
4,2,1,37,75.07,0,0,Low
1,2,12,100,30.66,0,1,High
2,2,11,41,30.7,0,0,Medium
4,1,23,24,45.75,0,0,Low
2,1,24,66,35.01,0,0,Medium
2,1,10,51,74.45,0,0,Medium
4,3,22,59,62.59,0,0,Medium
2,3,14,84,18.7,0,1,High
1,1,20,74,28.49,0,0,Medium
4,2,13,22,73.38,0,0,Low
4,3,14,106,22.75,0,1,High
1,1,3,23,73.8,1,1,Low
1,2,19,14,33.84,0,0,Low
1,2,22,13,78.46,0,0,Low
4,1,12,69,29.1,0,0,Medium
3,1,13,34,62.68,0,0,Low
3,3,13,15,70.24,0,0,Low
3,1,19,31,49.65,0,0,Low
2,3,5,60,78.58,0,0,Medium
4,2,16,30,76.08,0,0,Low
4,1,3,51,58.07,0,0,Medium
3,2,23,39,36.14,0,0,Low
3,3,24,62,10.57,0,1,Medium
3,2,10,54,44.85,1,1,Medium
4,3,23,53,47.11,0,0,Medium
3,1,18,39,40.05,0,0,Low
4,2,16,25,46.76,0,0,Low
2,2,22,28,59.58,0,0,Low
1,3,19,33,78.55,0,0,Low
2,1,19,36,42.92,0,0,Low
1,3,16,33,62.07,1,1,Low
3,1,11,29,68.39,0,0,Low
1,2,12,75,16.72,0,1,Medium
2,1,3,14,67.47,0,0,Low
1,3,18,52,47.45,0,0,Medium
3,1,3,43,52.42,0,0,Medium
4,1,24,62,28.64,0,0,Medium
3,2,8,84,27.36,0,1,High
4,3,17,17,51.75,0,0,Low
3,3,3,49,38.71,0,0,Medium
3,3,11,13,72.34,0,0,Low
1,1,1,40,70.1,0,0,Low
2,1,18,16,67.88,0,0,Low
2,2,13,26,42.42,0,0,Low
1,1,19,40,44.36,0,0,Low
3,2,24,86,23.26,0,1,High
1,1,9,84,30.53,0,1,High
1,3,11,42,72.75,0,0,Medium
4,2,18,42,39.5,0,0,Medium
1,3,1,37,76.64,0,0,Low
1,1,5,35,73.29,0,0,Low
4,2,18,39,75.96,0,0,Low
2,3,18,38,77.55,0,0,Low
2,1,16,57,40.46,0,0,Medium
2,3,5,14,43.69,0,0,Low
2,1,21,83,30.84,0,1,High
1,1,24,90,12.29,0,1,High
2,3,13,38,58.14,0,0,Low
2,2,8,120,23.57,1,1,High
2,3,9,120,18.19,0,1,High
3,2,12,67,38.75,0,0,Medium
2,3,25,72,13.94,0,1,Medium
1,3,11,52,77.68,1,1,Medium
3,2,19,15,48.68,0,0,Low
4,2,24,75,17.93,0,1,Medium
3,1,21,94,25.07,0,1,High
2,1,18,18,68.21,0,0,Low
4,2,3,54,78.6,0,0,Medium
4,2,24,83,10.18,0,1,High
1,1,9,97,18.88,0,1,High
1,3,15,59,35.94,0,0,Medium
4,3,17,31,53.95,0,0,Low
3,3,12,76,28.29,0,0,Medium
3,2,25,77,31.01,0,0,Medium
1,3,3,57,58.77,0,0,Medium
4,1,6,74,33.25,0,0,Medium
2,1,9,75,31.84,0,0,Medium
1,1,5,50,32.45,0,0,Medium
1,2,22,11,60.71,0,0,Low
2,2,23,35,34.48,0,0,Low
4,2,14,105,26.42,0,1,High
2,2,6,80,37.48,0,0,Medium
2,3,16,40,66.81,0,0,Low
2,2,20,89,23.94,0,1,High
2,2,14,77,20.07,0,0,Medium
3,3,11,10,42.47,1,1,Low
3,3,23,60,70.59,0,0,Medium
3,3,10,17,46.62,0,0,Low
4,2,19,24,41.8,0,0,Low
4,1,4,43,48.74,0,0,Medium
3,2,2,14,63.82,0,0,Low
1,2,22,50,73.72,0,0,Medium
2,1,3,24,66.01,0,0,Low
3,1,20,114,39.08,0,1,High
4,3,16,42,33.46,0,0,Medium
3,2,3,31,39.28,0,0,Low
2,1,10,39,65.93,0,0,Low
4,3,7,36,53.76,0,0,Low
4,1,17,41,33.31,0,0,Medium
4,3,5,52,73.89,0,0,Medium
1,3,8,96,22.68,0,1,High
3,1,9,95,29.75,0,1,High
1,2,19,24,79.05,0,0,Low
4,3,8,91,22.89,0,1,High
4,1,4,21,42.1,0,0,Low
4,3,18,45,71.45,0,0,Medium
2,3,24,119,29.26,0,1,High
2,1,15,39,37.8,0,0,Low
4,1,21,85,12.33,0,1,High
4,2,13,28,64.29,0,0,Low
1,3,7,44,52.8,0,0,Medium
2,3,18,15,74.51,0,0,Low
1,2,18,41,61.87,0,0,Medium
1,2,3,57,68.92,0,0,Medium
1,2,15,40,67.98,0,0,Low
3,2,19,40,45.77,0,0,Low
3,1,13,33,43.6,0,0,Low
1,1,18,43,54.31,0,0,Medium
4,2,3,41,48.06,0,0,Medium
2,1,19,60,79.66,0,0,Medium
4,3,13,59,56.54,0,0,Medium
2,2,9,115,33.03,0,1,High
1,1,18,60,39.47,0,0,Medium
3,2,3,12,44.2,0,0,Low
1,1,17,12,32.67,0,0,Low
2,2,9,99,19.65,0,1,High
4,2,11,17,63.64,0,0,Low
1,2,22,53,51.56,0,0,Medium
2,3,14,96,20.67,0,1,High
3,1,25,67,36.36,0,0,Medium
2,3,9,107,30.14,0,1,High
2,2,19,21,61.68,0,0,Low
3,1,5,59,65.52,0,0,Medium
1,2,20,60,23.06,0,0,Medium
4,2,17,57,76.57,0,0,Medium
3,1,23,30,54.43,0,0,Low
1,2,16,17,59.71,0,0,Low
3,3,5,31,62.2,0,0,Low
2,3,1,55,56.86,0,0,Medium
3,1,19,23,62.97,0,0,Low
1,3,3,28,78.84,0,0,Low
2,2,7,21,47.11,0,0,Low
3,3,8,76,30.16,0,0,Medium
2,3,8,74,36.37,1,1,Medium
4,1,17,39,34.79,0,0,Low
1,1,16,30,35.97,0,0,Low
3,1,17,14,64.91,0,0,Low
4,3,4,55,61.09,0,0,Medium
1,2,21,100,33.0,0,1,High
3,2,21,112,22.57,0,1,High
3,3,11,44,70.43,0,0,Medium
4,2,18,15,48.24,0,0,Low
4,1,22,56,39.0,0,0,Medium
2,1,16,29,72.09,0,0,Low
4,1,15,30,79.97,0,0,Low
3,1,1,51,78.37,0,0,Medium
3,2,8,77,37.95,0,0,Medium
1,1,12,61,30.21,1,1,Medium
4,1,16,41,63.09,0,0,Medium
2,3,7,50,77.77,0,0,Medium
3,1,24,99,30.0,0,1,High
4,2,18,19,47.92,0,0,Low
4,2,7,14,67.59,0,0,Low
2,3,1,27,36.48,0,0,Low
4,1,17,14,57.91,0,0,Low
4,3,7,23,34.04,0,0,Low
1,1,25,101,11.72,0,1,High
3,1,6,81,11.43,0,1,High
3,2,17,27,56.32,0,0,Low
1,1,25,97,26.12,0,1,High
2,1,4,22,31.39,0,0,Low
4,2,4,32,50.86,0,0,Low
3,2,12,106,29.36,0,1,High
4,2,20,105,24.46,0,1,High
3,1,8,61,12.94,0,1,Medium
3,1,15,21,40.0,0,0,Low
2,2,9,64,16.41,0,1,Medium
2,3,7,28,79.26,0,0,Low
1,3,15,14,43.09,0,0,Low
2,3,19,40,36.26,0,0,Low
1,2,19,41,36.48,0,0,Medium
3,3,1,48,77.27,0,0,Medium
2,2,11,24,63.19,0,0,Low
3,3,4,31,37.08,1,1,Low
1,3,2,57,68.31,0,0,Medium
4,1,7,44,34.45,0,0,Medium
2,2,11,16,60.51,0,0,Low
4,2,2,53,60.29,0,0,Medium
2,1,19,15,61.52,0,0,Low
3,2,8,103,30.92,0,1,High
1,1,5,31,31.73,0,0,Low
2,3,22,38,31.15,0,0,Low
2,3,16,10,35.21,0,0,Low
2,2,5,26,68.28,0,0,Low
1,3,24,98,32.95,0,1,High
4,1,3,35,55.39,0,0,Low
1,2,13,21,34.64,0,0,Low
3,2,16,29,75.15,0,0,Low
3,2,5,15,44.65,0,0,Low
1,2,5,15,62.13,0,0,Low
1,2,11,41,60.91,0,0,Medium
1,1,3,17,77.35,0,0,Low
3,2,3,29,39.31,0,0,Low
2,1,16,54,42.74,0,0,Medium
3,3,1,56,61.38,0,0,Medium
4,1,8,79,18.83,0,1,Medium
4,1,15,30,59.6,0,0,Low
2,3,3,13,48.87,0,0,Low
1,3,14,87,10.55,0,1,High
3,1,2,51,55.41,0,0,Medium
4,2,13,17,61.43,1,1,Low
2,3,14,85,12.21,0,1,High
1,1,4,32,70.08,0,0,Low
1,3,21,64,24.27,0,0,Medium
3,3,20,65,14.97,0,1,Medium
4,3,9,105,29.44,0,1,High
4,3,11,47,67.44,0,0,Medium
1,1,22,19,36.91,0,0,Low
1,3,9,81,37.21,0,1,High
1,3,4,58,65.04,0,0,Medium
1,3,24,82,14.24,0,1,High
4,1,7,39,63.62,0,0,Low
3,1,7,54,55.43,0,0,Medium
2,2,21,101,26.93,0,1,High
1,2,17,43,71.81,0,0,Medium
3,3,19,39,56.96,0,0,Low
4,1,15,37,46.1,0,0,Low
3,2,25,75,30.87,0,0,Medium
3,2,18,57,31.12,0,0,Medium
1,1,16,59,33.18,0,0,Medium
3,1,11,45,60.86,0,0,Medium
4,1,14,97,19.59,0,1,High
1,3,21,72,32.36,0,0,Medium
1,1,18,52,65.19,0,0,Medium
3,2,4,59,75.8,0,0,Medium
2,1,7,54,77.86,0,0,Medium
4,1,1,58,40.94,0,0,Medium
3,2,3,17,49.28,0,0,Low
2,2,4,21,55.64,0,0,Low
4,1,9,102,22.97,0,1,High
4,2,7,23,57.75,0,0,Low
3,3,21,114,34.17,0,1,High
1,3,5,54,50.5,0,0,Medium
2,1,21,97,24.58,1,1,High
4,1,7,24,53.59,0,0,Low
2,3,24,81,15.12,0,1,High
1,1,13,46,38.37,0,0,Medium
4,2,2,26,65.57,0,0,Low
1,1,10,58,46.3,0,0,Medium
4,1,13,10,60.47,0,0,Low
4,3,3,21,68.14,0,0,Low
4,1,19,48,45.21,0,0,Medium
4,3,4,17,40.36,0,0,Low
1,3,14,108,18.39,0,1,High
4,1,7,56,71.87,0,0,Medium
3,3,7,51,61.32,0,0,Medium
2,3,9,106,30.68,0,1,High
2,3,14,85,38.76,0,1,High
1,2,16,48,66.86,0,0,Medium
4,3,16,10,51.17,0,0,Low
3,3,24,116,27.43,0,1,High
4,1,24,81,29.09,1,1,High
3,3,16,24,69.44,0,0,Low
4,1,15,24,71.72,0,0,Low
4,3,18,47,72.53,0,0,Medium
4,1,15,38,61.67,1,1,Low
4,3,10,16,62.87,0,0,Low
4,1,10,52,54.7,0,0,Medium
4,3,18,15,62.19,0,0,Low
3,1,13,35,70.46,1,1,Low
1,1,10,35,54.29,1,1,Low
2,2,2,38,31.57,0,0,Low
3,3,4,51,79.41,0,0,Medium
2,2,19,14,35.61,0,0,Low
4,1,8,71,36.08,0,0,Medium
3,3,18,38,38.03,0,0,Low
2,2,14,95,16.13,0,1,High
3,1,19,15,50.43,0,0,Low
4,3,7,13,68.48,0,0,Low
4,2,14,116,39.82,0,1,High
2,1,21,110,28.75,0,1,High
1,1,21,70,22.36,0,0,Medium
2,2,15,22,39.0,1,1,Low
1,3,11,51,51.08,0,0,Medium
1,2,16,26,41.84,0,0,Low
4,3,1,54,46.6,1,1,Medium
1,3,3,42,47.18,0,0,Medium
2,3,4,54,43.85,0,0,Medium
4,1,9,108,13.78,0,1,High
2,1,18,13,34.94,0,0,Low
4,1,21,67,16.41,0,1,Medium
4,1,23,36,70.96,0,0,Low
4,1,3,17,73.26,0,0,Low
1,1,18,53,55.94,0,0,Medium
1,3,3,41,65.89,0,0,Medium
4,2,14,70,21.83,0,0,Medium
4,3,7,27,53.37,0,0,Low
3,2,16,52,66.64,0,0,Medium
3,1,19,44,58.39,0,0,Medium
3,1,11,13,40.69,0,0,Low
3,1,10,58,59.97,0,0,Medium
2,1,7,35,40.81,0,0,Low
2,2,8,92,23.03,0,1,High
1,3,2,58,55.45,0,0,Medium
1,2,19,41,74.9,0,0,Medium
1,2,17,17,75.98,0,0,Low
3,1,11,47,71.16,0,0,Medium
1,1,13,53,69.55,0,0,Medium
2,2,11,40,68.67,0,0,Low
4,3,2,15,62.34,0,0,Low
4,3,5,23,31.05,0,0,Low
1,1,24,72,21.35,0,0,Medium
3,1,15,36,69.35,0,0,Low
3,1,15,50,41.51,0,0,Medium
4,1,10,14,70.54,0,0,Low
4,2,23,30,31.11,0,0,Low
4,3,18,11,40.31,0,0,Low
4,2,16,50,71.25,0,0,Medium
2,2,7,44,50.07,0,0,Medium
4,2,19,31,61.81,0,0,Low
4,2,20,101,33.99,0,1,High
2,2,16,29,74.79,0,0,Low
4,3,2,55,43.91,0,0,Medium
4,1,18,42,62.45,0,0,Medium
1,2,5,46,69.39,0,0,Medium
4,1,17,49,53.44,0,0,Medium
4,2,23,52,35.79,1,1,Medium
2,1,4,21,48.04,0,0,Low
2,3,2,49,65.49,0,0,Medium
1,3,21,65,33.9,0,0,Medium
1,1,12,114,29.94,0,1,High
1,3,23,39,40.12,0,0,Low
2,3,9,97,22.42,0,1,High
3,2,15,12,33.19,0,0,Low
3,2,13,38,73.32,0,0,Low
4,3,23,58,61.06,0,0,Medium
2,3,10,21,55.56,0,0,Low
2,1,17,35,69.56,0,0,Low
2,2,22,16,33.87,0,0,Low
1,1,1,24,68.22,0,0,Low
4,3,21,91,17.75,0,1,High
3,1,19,33,62.96,0,0,Low
3,3,8,113,35.3,0,1,High
3,3,4,38,70.73,0,0,Low
4,2,13,23,46.01,0,0,Low
2,1,22,27,40.08,0,0,Low
2,2,17,59,75.52,0,0,Medium
2,2,1,21,42.31,0,0,Low
1,1,14,75,15.95,0,1,Medium
4,2,14,70,32.32,0,0,Medium
2,2,14,84,26.58,0,1,High
2,1,2,49,47.35,0,0,Medium
4,1,9,118,35.31,0,1,High
3,3,8,81,28.52,0,1,High
3,3,16,34,72.18,0,0,Low
4,1,15,15,71.91,0,0,Low
3,2,20,111,38.18,0,1,High
4,2,19,52,58.87,1,1,Medium
2,1,9,89,13.03,0,1,High
3,2,5,14,38.72,0,0,Low
2,3,6,82,33.44,0,1,High
4,1,24,99,26.46,0,1,High
2,1,6,66,18.07,0,1,Medium
2,3,21,86,34.06,0,1,High
3,3,1,27,34.56,0,0,Low
1,2,18,26,53.59,0,0,Low
2,3,11,42,33.07,0,0,Medium
4,1,3,51,52.39,0,0,Medium
4,1,5,16,70.54,0,0,Low
2,2,16,51,79.23,0,0,Medium
3,1,20,95,16.0,1,1,High
4,2,12,111,15.62,0,1,High
4,3,5,23,63.87,0,0,Low
1,2,10,46,68.46,0,0,Medium
2,2,15,30,55.77,1,1,Low
4,1,15,42,77.9,0,0,Medium
3,1,17,43,42.16,0,0,Medium
1,3,23,40,53.61,0,0,Low
2,2,19,27,49.08,0,0,Low
3,3,21,90,21.18,0,1,High
4,3,12,72,20.93,0,0,Medium
2,3,19,24,47.52,0,0,Low
1,2,6,65,34.12,0,0,Medium
1,2,20,68,27.21,0,0,Medium
2,3,7,14,33.74,0,0,Low
3,3,5,57,39.29,0,0,Medium
3,1,19,29,73.73,0,0,Low
4,1,19,59,64.38,0,0,Medium
2,2,6,97,31.01,0,1,High
2,3,16,50,43.62,0,0,Medium
1,1,25,108,22.9,0,1,High
4,3,6,88,24.7,0,1,High
4,2,14,67,22.41,0,0,Medium
4,1,19,11,50.31,0,0,Low
4,3,8,102,32.95,0,1,High
4,1,3,19,63.51,0,0,Low
2,3,11,33,46.37,0,0,Low
1,3,9,79,23.54,0,0,Medium
4,1,10,48,42.63,0,0,Medium
1,2,16,42,68.28,0,0,Medium
1,3,20,65,37.85,0,0,Medium
4,2,24,69,33.09,0,0,Medium
4,2,18,13,63.71,0,0,Low
3,2,9,104,30.7,0,1,High
4,2,20,71,20.61,0,0,Medium
1,3,4,50,77.41,0,0,Medium
1,1,4,29,58.45,0,0,Low
3,3,12,80,19.75,0,1,Medium
2,1,10,43,61.04,0,0,Medium
2,3,24,111,24.81,0,1,High
2,2,7,38,35.66,0,0,Low
4,1,13,57,53.62,0,0,Medium
3,1,16,50,79.16,0,0,Medium
4,2,3,16,30.86,0,0,Low
3,3,24,89,13.88,0,1,High
4,2,10,17,38.72,0,0,Low
3,3,3,34,48.5,0,0,Low
1,2,24,119,18.73,0,1,High
1,2,16,26,36.88,0,0,Low
2,3,5,36,50.07,0,0,Low
2,1,24,98,21.19,0,1,High
3,3,10,34,74.1,0,0,Low
2,1,16,34,53.99,0,0,Low
2,1,22,19,42.76,0,0,Low
1,1,2,46,57.6,0,0,Medium
1,2,18,36,70.66,1,1,Low
3,2,18,59,38.28,0,0,Medium
4,3,17,27,78.48,0,0,Low
3,3,16,17,38.0,0,0,Low
1,1,18,13,74.22,0,0,Low
1,3,17,58,70.55,0,0,Medium
2,1,14,86,28.96,0,1,High
4,2,5,53,37.97,0,0,Medium
2,3,16,20,30.23,0,0,Low
4,1,17,43,37.56,0,0,Medium
3,2,22,32,37.34,0,0,Low
2,1,5,28,40.28,0,0,Low
3,1,23,24,68.03,0,0,Low
2,1,9,65,32.58,0,0,Medium
2,1,23,38,62.23,0,0,Low
2,1,23,56,57.64,0,0,Medium
2,1,15,10,38.43,0,0,Low
4,1,21,108,39.18,0,1,High
3,2,7,19,37.01,0,0,Low
3,2,22,57,54.93,0,0,Medium
1,3,20,85,21.86,0,1,High
4,2,23,15,74.23,0,0,Low
4,1,11,28,34.93,0,0,Low
2,1,4,26,77.37,0,0,Low
1,1,9,96,32.36,0,1,High
3,3,19,31,52.13,0,0,Low
2,2,11,59,32.89,0,0,Medium
3,1,11,10,50.02,0,0,Low
1,1,3,37,30.81,0,0,Low
1,2,21,84,25.15,0,1,High
3,3,19,58,44.99,0,0,Medium
3,2,7,40,79.3,0,0,Low
3,1,4,32,52.61,0,0,Low
3,3,5,21,44.36,0,0,Low
3,2,1,23,45.59,1,1,Low
2,3,1,14,67.73,0,0,Low
2,1,15,26,42.75,0,0,Low
4,3,19,35,47.12,0,0,Low
2,3,1,35,68.01,0,0,Low
4,3,22,12,56.03,1,1,Low
3,1,18,15,75.49,0,0,Low
2,3,10,44,48.6,0,0,Medium
1,3,1,48,49.68,0,0,Medium
4,1,22,48,55.39,0,0,Medium
3,1,11,36,53.7,1,1,Low
4,1,2,23,69.28,0,0,Low
4,3,7,21,78.49,0,0,Low
3,1,12,65,20.85,0,0,Medium
3,3,16,58,36.17,0,0,Medium
2,2,8,78,25.23,0,0,Medium
2,3,21,100,27.3,0,1,High
1,1,15,49,35.16,0,0,Medium
1,2,23,19,53.65,0,0,Low
1,3,17,44,65.08,0,0,Medium
1,3,2,25,71.43,0,0,Low
2,3,13,56,73.15,0,0,Medium
3,2,9,109,25.2,0,1,High
